country_es,iso_code,2003,2023,Dif 2023-2003,latitude,longitude
Argentina,ARG,8.22,5.83,-2.39,-38.42,-63.62
Armenia,ARM,34.34,0,-34.34,40.07,45.04
Bielorrusia,BLR,0,28.06,28.06,53.71,27.95
Bélgica,BEL,56.69,40.56,-16.14,50.5,4.47
Brasil,BRA,3.67,2.03,-1.63,-14.24,-51.93
Bulgaria,BGR,40.87,40.41,-0.46,42.73,25.49
Canadá,CAN,12.64,14,1.36,56.13,-106.35
China,CHN,2.27,4.6,2.33,35.86,104.2
República Checa,CZE,31.25,39.91,8.66,49.82,15.47
Finlandia,FIN,26.97,42.48,15.52,61.92,25.75
Francia,FRA,78.89,65.29,-13.6,46.23,2.21
Alemania,DEU,27.42,1.73,-25.68,51.17,10.45
Hungría,HUN,32.26,44.47,12.21,47.16,19.5
India,IND,2.84,2.45,-0.39,20.59,78.96
Irán,IRN,0,1.81,1.81,32.43,53.69
Japón,JPN,21.06,7.64,-13.42,36.2,138.25
Lituania,LTU,82.25,0,-82.25,55.17,23.88
México,MEX,4.67,3.49,-1.18,23.63,-102.55
Países Bajos,NLD,4.21,3.27,-0.94,52.13,5.29
Pakistán,PAK,2.21,13.93,11.73,30.38,69.35
Rumania,ROU,8.95,19.86,10.91,45.94,24.97
Rusia,RUS,16.41,18.47,2.06,61.52,105.32
Eslovaquia,SVK,57.65,61.9,4.25,48.67,19.7
Eslovenia,SVN,37.67,37.06,-0.62,46.15,15
Sudáfrica,ZAF,5.4,3.57,-1.83,-30.56,22.94
Corea del Sur,KOR,37.29,29.39,-7.9,35.91,127.77
España,ESP,24.05,21.06,-2.99,40.46,-3.75
Suecia,SWE,49.8,29.09,-20.7,60.13,18.64
Suiza,CHE,42.07,34.12,-7.95,46.82,8.23
China Taipei,TWN,18.6,7.03,-11.57,23.7,120.96
Ucrania,UKR,45.08,50.69,5.61,48.38,31.17
Emiratos Árabes,ARE,0,19.56,19.56,23.42,53.85
Reino Unido,GBR,22.27,14.07,-8.2,55.38,-3.44
Estados Unidos,USA,19.74,18.25,-1.49,37.09,-95.71
